QID,Title,Sub Category,Category,CVE ID,Vendor Reference,CVSS Base,CVSS3 Base,Bugtraq ID,Modified,Published
1268,vSkimmer PoS Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,11/12/2014 at 18:55:49 (GMT-0300),
1269,JackPoS PoS Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,11/17/2014 at 18:26:34 (GMT-0300),
1270,Alina PoS Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,11/17/2014 at 18:26:44 (GMT-0300),
1271,LusyPOS PoS Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,12/04/2014 at 07:56:31 (GMT-0300),
1272,Wiper Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,12/08/2014 at 17:04:49 (GMT-0300),
1273,Regin Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,12/08/2014 at 17:04:49 (GMT-0300),
1274,SoakSoak Malware Detected,Remote Discovery,"Backdoors and trojan horses,",,,6.8,'-,,12/17/2014 at 19:35:53 (GMT-0300),
1275,Skeleton Key Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,01/28/2015 at 20:40:20 (GMT-0300),
1276,SuperFish Visual Discovery Adware/Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.4,'-,,02/20/2015 at 19:18:10 (GMT-0300),
1277,JspWebShell Backdoor Detected,Remote Discovery,"Backdoors and trojan horses,",,,7.5,'-,,03/20/2015 at 02:21:23 (GMT-0300),
1278,Shellshock Worm Detected,Unix Authenticated Discovery,"Backdoors and trojan horses,",,,7.5,'-,,04/10/2015 at 17:23:47 (GMT-0300),
1406,Knooth.E Trojan Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,7.5,'-,,02/05/2008 at 05:00:00 (GMT-0300),
2600,Wingate HTTP Port Remote Access Vulnerability,Remote Discovery,Proxy,CVE-1999-0657,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
5000,FireWall-1 Login Access Enabled,Remote Discovery,Brute Force Attack,CVE-2000-1032,,5,'-,1890,06/15/2009 at 16:06:30 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
5001,Discovery of Unix Account Names Vulnerability,"Remote Discovery, Exploit Available",Brute Force Attack,CVE-2001-1013,,5,'-,3335,06/15/2009 at 21:24:08 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
5002,iPlanet Netscape Messaging Server POP E-mail Address Verification Vulnerability,Remote Discovery,Brute Force Attack,CVE-2000-0960,,5,'-,1787,04/10/2009 at 15:29:08 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
5003,iPlanet Netscape Messaging Server IMAP E-mail Address Verification Vulnerability,Remote Discovery,Brute Force Attack,CVE-2000-0960,,5,'-,1787,06/05/2009 at 21:14:44 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
5004,CommuniGate Pro E-mail Address VerificationVulnerability,"Remote Discovery, Patch Available, Exploit Available",Brute Force Attack,CVE-2000-1002,,5,'-,1792,06/01/2009 at 00:38:37 (GMT-0300),10/20/2000 at 11:09:29 (GMT-0300)
5005,NetBIOS Brute Force of Accounts,"Remote Discovery, Exploit Available",Brute Force Attack,"CVE-1999-0504,CVE-1999-0505,CVE-1999-0506,CVE-1999-0518",,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
5006,Check Point Firewall-1 User Name Brute Force Vulnerability,Remote Discovery,"Brute Force Attack,",,,5,'-,,11/02/2001 at 23:29:10 (GMT-0300),
5007,Lynx Command Line URL CRLF Injection Vulnerability,"Unix Authenticated Discovery, Patch Available, Exploit Available",Brute Force Attack,CVE-2002-1405,RHSA-2003:030,5,'-,5499,06/12/2009 at 15:35:02 (GMT-0300),04/13/2005 at 04:00:00 (GMT-0300)
7000,Htaccess File Disclosure,Remote Discovery,"Web server,",,,5,'-,,10/26/2000 at 10:46:31 (GMT-0300),
7001,Htpasswd File Disclosure,Remote Discovery,"Web server,",,,5,'-,,10/26/2000 at 11:18:47 (GMT-0300),
7002,HTTP File Disclosure,Remote Discovery,"Web server,",,,5,'-,,10/26/2000 at 11:07:08 (GMT-0300),
7003,Comments in your HTML Source Disclose Sensitive Information,Remote Discovery,"Information gathering,",,,5,'-,,11/30/2000 at 07:58:17 (GMT-0300),
7004,Your HTML source discloses e-mail addresses,Remote Discovery,"Information gathering,",,,0,'-,,11/30/2000 at 08:14:06 (GMT-0300),
7005,Web Directory Default Browsable Feature,Remote Discovery,"Web server,",,,5,'-,,01/09/2001 at 07:18:57 (GMT-0300),
7006,Web Directory Browsable,"Remote Discovery, Patch Available","Web server,",,,5,'-,,01/10/2001 at 06:51:01 (GMT-0300),
7007,Disclosure of Sensitive Information in URLs,Remote Discovery,"Web server,",,,5,'-,,01/12/2001 at 07:01:46 (GMT-0300),
7008,Backup Files Present on Web Server,Remote Discovery,"Web server,",,,5,'-,,01/11/2001 at 12:45:27 (GMT-0300),
7009,New Virtual Web Server Hostnames Found.,Remote Discovery,"Web server,",,,5,'-,,01/29/2001 at 13:11:38 (GMT-0300),
10000,phf CGI Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-1999-0067,,10,'-,629,05/26/2009 at 21:38:02 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10001,campas CGI Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0146,,7.5,'-,1975,06/11/2009 at 04:34:28 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10002,Finger CGI Present,Remote Discovery,"CGI,",,,2.6,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10003,PHP Buffer Overflow,"Remote Discovery, Patch Available",CGI,CVE-1999-0058,,7.5,'-,712,06/17/2009 at 20:01:09 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10004,htmlscript CGI Directory Traversal Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0264,,5,'-,2001,06/03/2009 at 03:29:17 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10005,PHP Prior to 5.6.8/5.5.24/5.4.40 Multiple Remote Code Execution Vulnerabilities,"Remote Discovery, Patch Available",CGI,"CVE-2015-3411,CVE-2015-3412,CVE-2015-3330,CVE-2015-1351,CVE-2015-2783,CVE-2015-3329,CVE-2015-1352",PHP,7.5,0,"74204,71929,74239,74240,71932,75255,75250",05/24/2016 at 16:59:15 (GMT-0300),05/14/2015 at 18:53:04 (GMT-0300)
10006,info2www CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0266,,7.5,'-,1995,06/15/2009 at 00:44:04 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10007,IRIS Performer API Search Tool Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-1999-0270,,5,'-,64,06/03/2009 at 03:47:09 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10008,webdist CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0039,,7.5,'-,374,06/14/2009 at 23:20:25 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10009,Faxsurvey CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0262,,7.5,'-,2056,06/14/2009 at 23:04:42 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10010,Handler CGI Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0148,,7.5,'-,380,06/18/2009 at 15:39:32 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10011,CGI wrap Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0149,,7.5,'-,373,05/27/2009 at 18:02:54 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10012, aglimpse CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0147,,7.5,'-,2026,06/15/2009 at 00:43:52 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10013,websendmail CGI Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0196,,5,'-,2077,06/12/2009 at 19:31:34 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10014,count.cgi vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0021,,7.5,'-,128,06/14/2009 at 22:39:00 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10015,test-cgi CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0070,,5,'-,2003,06/12/2009 at 15:41:03 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10016, nph-test-cgi CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-0045,,7.5,'-,686,05/27/2009 at 21:36:27 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10017,webgais CGI Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0176,,7.5,'-,2058,06/12/2009 at 06:02:40 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10018,Perl Interpreter (perl.exe) Remote Command Execution Vulnerability,Remote Discovery,CGI,CVE-1999-0509,,10,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10019,wwwboard.pl Multiple CGI Vulnerabilities,"Remote Discovery, Patch Available",CGI,CVE-1999-0930,,5,'-,1795,06/05/2009 at 18:44:23 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10020,www-sql CGI Vulnerability,"Remote Discovery, Patch Available","CGI,",,,5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10021,CGI view-source Directory Traversal Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0174,,6.4,'-,2251,06/29/2009 at 15:46:13 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10022,man.sh CGI Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-1999-1179,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10023,Excite Web Server 1.1 Present Vulnerability,Remote Discovery,"CGI,",,,7.5,'-,2665,05/11/2009 at 18:43:25 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10024,Script filemail.pl Remote Execution Vulnerability,Remote Discovery,CGI,CVE-1999-1154,,7.5,'-,,10/27/2000 at 13:03:54 (GMT-0300),
10025,Script maillist.pl Remote Execution Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-2001-0400,,7.5,'-,2563,04/10/2009 at 03:53:43 (GMT-0300),10/27/2000 at 13:10:55 (GMT-0300)
10026,jj CGI Vulnerability,Remote Discovery,CGI,CVE-1999-0260,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10027,files.pl CGI Vulnerability,Remote Discovery,"CGI,",,,5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10028,bnbform.cgi CGI Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-1999-0937,,10,'-,2147,05/26/2009 at 19:48:25 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10029,BNB Survey.cgi Metacharacter Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-1999-0936,,10,'-,1817,06/04/2009 at 04:35:09 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10031,textcounter.pl CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-1479,,10,'-,2265,06/04/2009 at 23:32:23 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10032,classifieds.cgi CGI Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0934,,5,'-,2020,06/16/2009 at 15:09:20 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10033,environ.cgi Sensitive Information Disclosure,Remote Discovery,"CGI,",,,5,'-,,12/01/2000 at 12:56:29 (GMT-0300),
10034,FrontPage Password Files: service.pwd,Remote Discovery,"Web server,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10035,FrontPage Password Files: users.pwd,Remote Discovery,"Web server,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10036,FrontPage Password Files: authors.pwd,Remote Discovery,"Web server,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10037,FrontPage Password Files: administrators.pwd,Remote Discovery,"Web server,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10038,O'Reilly WebSite Pro uploader.exe Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-2000-0769,,7.5,'-,1611,06/15/2009 at 00:32:31 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10039,Microsoft IIS 3.0/4.0 Upgrade BDIR.HTR Vulnerability,Remote Discovery,"CGI,",,,5,'-,2280,05/15/2009 at 19:21:54 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10040,Microsoft IIS 3.0 newdsn.exe Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0191,,6.4,'-,1818,06/12/2009 at 06:06:31 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10041,fpcount.exe CGI Vulnerability,Remote Discovery,CGI,CVE-1999-1376,,10,'-,2252,06/04/2009 at 04:15:28 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10042,search97.vts CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-1014,,7.5,'-,1717,04/03/2009 at 04:34:45 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10043,iCat Suite 3.0 CGI Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-1069,,5,'-,2126,06/05/2009 at 18:04:13 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10044,codebrws.asp CGI Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-1999-0738,MS99-013,5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10045,"Allaire Macromedia ColdFusion Remote File Display, Deletion, Upload and Execution Vulnerability","Remote Discovery, Patch Available, Exploit Available",CGI,"CVE-1999-0455,CVE-1999-0477",,7.5,'-,115,06/16/2009 at 09:13:24 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10046,Allaire Macromedia ColdFusion sendmail.cfm sample script Vulnerability,Remote Discovery,"CGI,",,,4.3,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10047,Allaire Macromedia ColdFusion mainframeset.cfm Vulnerability,Remote Discovery,CGI,CVE-1999-1124,,7.5,'-,6765,05/11/2009 at 18:50:03 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10048,ctss.idc CGI Vulnerability,Remote Discovery,"CGI,",,,6.4,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10049,Verity search97 CGI Vulnerability,"Remote Discovery, Patch Available","CGI,",,,5,'-,162,05/20/2009 at 07:09:08 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10050,details.idc Sample Script Present Vulnerability,"Remote Discovery, Patch Available","CGI,",,,7.5,'-,286,05/12/2009 at 00:38:26 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10051,ODBC Tools Present on the Host,Remote Discovery,"CGI,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10053,adctest.asp Remote Command Execution Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0325,MS99-030,7.2,'-,286548,06/15/2009 at 05:23:13 (GMT-0300),07/09/2001 at 06:31:32 (GMT-0300)
10054,Microsoft showcode.asp and/or viewcode.asp File Viewing CGI Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-1999-0736,MS99-013,5,'-,167,03/13/2015 at 05:18:44 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10055,WordPress N-Media Website Contact Form with File Upload Plugin File Upload Vulnerability,"Remote Discovery, Exploit Available","CGI,",,,6.8,'-,,05/19/2015 at 18:37:48 (GMT-0300),
10056,wais.pl CGI Vulnerability,Remote Discovery,"CGI,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10057,PHP/FI mylog/mlog Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-1999-0346,,5,'-,713,06/15/2009 at 21:37:27 (GMT-0300),12/14/2000 at 11:22:43 (GMT-0300)
10058,Lotus Domino Default Database Unprotected,Remote Discovery,"CGI,",,,5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10059,whois_raw.cgi CGI Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-1999-1063,,10,'-,304,06/04/2009 at 04:34:57 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10061,Oracle WebDB wdbcgiw CGI Vulnerability,Remote Discovery,"Database,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10062,Oracle WebDB Listener Vulnerability,Remote Discovery,"Database,",,,7.5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
10063,WordPress AB Google Map Travel (AB-MAP) Plugin Multiple Cross-Site Scripting and Cross-Site Request Forgery Vulnerabilities,"Remote Discovery, Patch Available",CGI,CVE-2015-2755,AB-MAP 4.0,6.8,'-,71417,05/18/2015 at 20:21:52 (GMT-0300),05/18/2015 at 20:21:52 (GMT-0300)
10064,Solution Scripts Home Free search.cgi Directory Traversal Vulnerability,"Remote Discovery, Exploit Available",CGI,CVE-2000-0054,,5,'-,921,06/03/2009 at 15:36:38 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10065,Progress WebSpeed WSISA Messenger Administration Utility Remote Administration Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-2000-0127,,7.5,'-,969,06/14/2009 at 23:04:54 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10066,Sambar Server Remote Command Execution Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0213,,5,'-,1002,06/12/2009 at 19:25:17 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10067,Microsoft Personal Web Server Directory Traversal Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-2000-0153,,5,'-,989,04/08/2009 at 10:00:34 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10068,Concrete5 Multiple Cross-Site Scripting Vulnerabilities,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2015-2250,concrete5 5.7.4,4.3,'-,74651,05/20/2015 at 00:30:19 (GMT-0300),05/19/2015 at 18:37:48 (GMT-0300)
10069,Netscape Enterprise Server,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2002-1042,,5,'-,5191,06/03/2009 at 21:44:09 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10070,ht://Dig File Inclusion Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0208,,5,'-,1026,06/02/2009 at 18:36:45 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10071,SGI InfoSearch fname Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0207,,7.5,'-,1031,06/14/2009 at 22:40:44 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10072,Axis Communications Storpoint Passwordless Access Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0191,,10,'-,1025,04/08/2009 at 04:31:43 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10073,Oracle Web Listener Remote Command Execution Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0169,,7.5,'-,1053,06/12/2009 at 04:39:31 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10074,Sojourn Search Engine File Viewing Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0180,,5,'-,1052,06/16/2009 at 14:21:10 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10077,rpm_query Discloses List of RPMs Installed on the System,"Remote Discovery, Exploit Available",CGI,CVE-2000-0192,,5,'-,1036,06/03/2009 at 21:42:08 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10078,phpMyAdmin Multiple Security Vulnerabilities (PMASA-2015-1 - PMASA-2015-2),"Remote Discovery, Patch Available",CGI,"CVE-2015-3902,CVE-2015-3903",PMASA-2015-1 - PMASA-2015-3,6.8,'-,"74657,74660",12/10/2015 at 16:38:42 (GMT-0300),05/20/2015 at 20:46:09 (GMT-0300)
10079,TalentSoft Web+ CGI Script Arbitrary File Viewing Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0282,,5,'-,1102,06/15/2009 at 19:09:48 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10080,NewsWeb CGI Buffer Overflow Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0423,,5,'-,1172,04/08/2009 at 07:07:44 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10081,WordPress WPshop eCommerce Plugin Arbitrary File Upload Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,,WPshop 1.3.9.6,4.3,'-,,05/18/2015 at 20:21:52 (GMT-0300),
10082,Default Account in Piranha Web Interface,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0248,,10,'-,1148,06/04/2009 at 01:12:31 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10084,ht://Dig Search Engine Absolute Path Revealed Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-2000-1191,,5,'-,4366,04/08/2009 at 07:12:41 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10086,DBMan CGI Environment and Setup Variable Disclosure Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0381,,6.4,'-,1178,04/08/2009 at 18:52:01 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10087,Netwinsite DmailWeb CGI Buffer Overflow Vulnerability,"Remote Discovery, Patch Available",CGI,CVE-2000-0422,,7.5,'-,1171,06/18/2009 at 18:11:55 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
10088,FormMail env_report CGI Script Environment Variable Disclosure Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2000-0411,,5,'-,1187,04/08/2009 at 23:53:08 (GMT-0300),01/01/1999 at 05:00:00 (GMT-0300)
