Plugin ID 1,Plugin Name 1,CVEs 1,Plugin ID 2,Plugin Name 2,CVEs 2,Similarity
nessus-10022,Axent Raptor Firewall Zero Length IP Remote DoS,,qualys-66035,Silicon Graphics IRIX fam RPC Service Directory Listing Vulnerability,,0.7466666666666667
nessus-10023,Axis Storpoint CD Admin Authentication Bypass,CVE-2000-0191,qualys-10072,Axis Communications Storpoint Passwordless Access Vulnerability,CVE-2000-0191,0.8466666666666667
nessus-10024,BackOrifice Software Detection,,qualys-1265,Backoff PoS Malware Detected,,0.62
nessus-10025,Big Brother bb-hist.sh History Module Directory Traversal,CVE-1999-1462,qualys-66003,NFS Exported Directories Mountable by Unauthorized Users,CVE-1999-0169,0.7366666666666667
nessus-10026,BFTelnet Username Handling Remote Overflow DoS,CVE-1999-0904,qualys-27156,WFTPD Remote Buffer Overflow Vulnerability,CVE-1999-0950,0.7966666666666667
nessus-10027,F5 BIG/ip bigconf.cgi file Parameter Arbitrary File Access,CVE-1999-1550,qualys-10874,F5 Device bigconf.cgi Accessible with Default Support Password,CVE-1999-0508,0.75
nessus-10028,DNS Server BIND version Directive Remote Version Detection,,qualys-15085,ISC BIND DNSSEC Validation Remote Denial of Service Vulnerability,CVE-2010-3762,0.6
nessus-10029,ISC BIND < 4.9.7-REL / 8.2.2-P5 Multiple Remote Vulnerabilities,"CVE-1999-0833, CVE-1999-0835, CVE-1999-0837, CVE-1999-0848, CVE-1999-0849, CVE-1999-0851",qualys-15027,ISC BIND naptr Named Crash (naptr bug) Vulnerability,CVE-1999-0851,0.8433333333333334
nessus-10030,TCP/IP IP Fragmentation Remote DoS (bonk),CVE-1999-0258,qualys-86403,Cisco PIX Firewall Manager File Exposure,CVE-1999-0158,0.75
nessus-10031,RPC bootparamd Service Information Disclosure,,qualys-38435,SIP Users Information Disclosure,,0.73
nessus-10034,Squid cachemgr.cgi Proxied Port Scanning,CVE-1999-0710,qualys-10015,test-cgi CGI Vulnerability,CVE-1999-0070,0.7433333333333333
nessus-10035,NCSA Campas cgi-bin Arbitrary Command Execution,CVE-1999-0146,qualys-10001,campas CGI Vulnerability,CVE-1999-0146,0.7966666666666667
nessus-10036,CDK Backdoor Detection,,qualys-1017,Cdk Backdoor,,0.71
nessus-10037,CERN httpd Virtual Web Path Disclosure,CVE-2000-0079,qualys-10551,W3C httpd (Formerly 'CERN httpd') Path Revealing Vulnerability,CVE-2000-0079,0.8533333333333334
nessus-10038,cfingerd Wildcard Argument Information Disclosure,CVE-1999-0259,qualys-86058,Microsoft IIS 3.0 ASP Source Disclosure Vulnerability,CVE-1999-0253,0.7433333333333333
nessus-10039,Directory Browsing Enabled on /cgi-bin,CVE-1999-0569,qualys-10043,iCat Suite 3.0 CGI Vulnerability,CVE-1999-1069,0.7566666666666667
nessus-10040,Sambar Server cgitest.exe Remote Overflow,CVE-2002-0128,qualys-10578,Sambar Server Sample Script Denial of Service Vulnerability,CVE-2002-0128,0.7866666666666666
nessus-10041,Cobalt RaQ2 cgiwrap Multiple Vulnerabilities,"CVE-1999-1530, CVE-2000-0431",qualys-10019,wwwboard.pl Multiple CGI Vulnerabilities,CVE-1999-0930,0.7366666666666667
nessus-10042,NetManage Chameleon SMTPd Remote Overflow DoS,CVE-1999-0261,qualys-86450,NCSA HTTPd Buffer Overflow Vulnerability,CVE-1999-0267,0.7533333333333334
nessus-10043,Chargen UDP Service Remote DoS,CVE-1999-0103,qualys-66046,sprayd RPC Service Present,CVE-1999-0613,0.7933333333333333
nessus-10044,Check Point FireWall-1 Identification,,qualys-5006,Check Point Firewall-1 User Name Brute Force Vulnerability,,0.55
nessus-10045,Cisco 675 Router Default Unpassworded Account,CVE-1999-0889,qualys-66038,autofsd rpc service remote exploit,CVE-1999-0088,0.7666666666666667
nessus-10046,Cisco Catalyst Supervisor Remote Reload DoS,CVE-1999-0430,qualys-66038,autofsd rpc service remote exploit,CVE-1999-0088,0.75
nessus-10047,CMail MAIL FROM Command Remote Overflow,CVE-1999-1521,qualys-74064,Computalynx CMail SMTP Buffer Overflow Vulnerability,CVE-1999-1521,0.8433333333333334
nessus-10048,CommuniGate Pro HTTP Configuration Port Remote Overflow,CVE-1999-0865,qualys-2600,Wingate HTTP Port Remote Access Vulnerability,CVE-1999-0657,0.7400000000000001
nessus-10049,wwwcount Count.cgi Remote Overflow,CVE-1999-0021,qualys-10014,count.cgi vulnerability,CVE-1999-0021,0.8433333333333334
nessus-10050,CSM Mail Server MTA 'HELO' DoS,CVE-2000-0042,qualys-10095,CGI Script Plusmail Present,CVE-2000-0074,0.7600000000000001
nessus-10051,CVS pserver Detection,,qualys-38277,DAAP Server Detected,,0.68
nessus-10052,Daytime Service Detection,,qualys-38277,DAAP Server Detected,,0.67
nessus-10052,Daytime Service Detection,,qualys-38292,iTunes Service Detected,,0.67
nessus-10052,Daytime Service Detection,,qualys-38298,RAdmin Service Detected,,0.67
nessus-10053,DeepThroat Backdoor Detection,,qualys-1005,Deep Throat (Version 1) Backdoor,,0.81
nessus-10053,DeepThroat Backdoor Detection,,qualys-1006,Deep Throat (Version 2) Backdoor,,0.81
nessus-10053,DeepThroat Backdoor Detection,,qualys-1007,Deep Throat (Version 3) Backdoor,,0.81
nessus-10054,DeleGate Multiple Function Remote Overflows,CVE-2000-0165,qualys-86186,Infopulse Gatekeeper Buffer Overflow Vulnerability,CVE-2000-0675,0.7766666666666667
nessus-10055,Sendmail < 8.8.5 MIME Conversion Malformed Header Overflow,CVE-1999-0047,qualys-74057,Berkeley Sendmail MIME Vulnerability,CVE-1999-0047,0.8033333333333333
nessus-10056,/doc Directory Browsable (deprecated),CVE-1999-0678,qualys-10859,Directory /doc/ Listable,CVE-1999-0678,0.82
nessus-10231,selection service,,qualys-38292,iTunes Service Detected,,0.7
nessus-10231,selection service,,qualys-38298,RAdmin Service Detected,,0.7
nessus-10232,showfhd service,,qualys-150087,Web Service Found,,0.56
nessus-10233,snmp service,,qualys-150087,Web Service Found,,0.55
nessus-10234,sprayd service,CVE-1999-0613,qualys-66046,sprayd RPC Service Present,CVE-1999-0613,0.9
nessus-10235,statd service,"CVE-1999-0018, CVE-1999-0019, CVE-1999-0493, CVE-2004-1014",qualys-66010,statd RPC Service Buffer Overflow Vulnerability,CVE-1999-0018,0.81
nessus-10236,statmon service,,qualys-38229,Service Stopped Responding,,0.54
nessus-10237,sunlink mapper service,,qualys-150088,Suspicious Web Service API Name,,0.57
nessus-10238,tfsd service,,qualys-150087,Web Service Found,,0.55
nessus-10239,CDE RPC tooltalk Service Multiple Overflows,"CVE-1999-0003, CVE-1999-0693",qualys-66004,ToolTalk Buffer Overflow Vulnerability,CVE-1999-0693,0.8300000000000001
nessus-10239,CDE RPC tooltalk Service Multiple Overflows,,qualys-68502,ToolTalk Library Buffer Overflow Vulnerability,,0.8300000000000001
nessus-10240,walld service,CVE-1999-0181,qualys-86403,Cisco PIX Firewall Manager File Exposure,CVE-1999-0158,0.7400000000000001
nessus-10241,ypbind service,CVE-1999-0312,qualys-66046,sprayd RPC Service Present,CVE-1999-0613,0.7333333333333334
nessus-10242,yppasswd service,,qualys-7001,Htpasswd File Disclosure,,0.55
nessus-10242,yppasswd service,,qualys-150087,Web Service Found,,0.55
nessus-10243,ypupdated service,CVE-1999-0208,qualys-10003,PHP Buffer Overflow,CVE-1999-0080,0.7433333333333333
nessus-10243,ypupdated service,,qualys-27006,FTP server SITE EXEC Vulnerability,,0.7433333333333333
nessus-10244,ypxfrd service,CVE-2002-1199,qualys-10896,IBM WebSphere Edge Server Caching Proxy Denial of Service Vulnerability,CVE-2002-1169,0.7000000000000001
nessus-10245,rsh Service Detection,CVE-1999-0651,qualys-66046,sprayd RPC Service Present,CVE-1999-0613,0.7966666666666667
nessus-10246,Sambar Server Multiple Script Arbitrary Code Execution,CVE-2000-0213,qualys-10066,Sambar Server Remote Command Execution Vulnerability,CVE-2000-0213,0.8666666666666667
nessus-10247,Sendmail DEBUG/WIZ Remote Command Execution,"CVE-1999-0095, CVE-1999-0145",qualys-10540,ht://dig Remote Command Execution Vulnerability,CVE-1999-0978,0.7566666666666667
nessus-10248,Sendmail decode Alias Arbitrary File Overwrite,CVE-1999-0096,qualys-10013,websendmail CGI Vulnerability,CVE-1999-0196,0.7733333333333334
nessus-10249,Multiple Mail Server EXPN/VRFY Information Disclosure,,qualys-27169,PlatinumFTPServer Information Disclosure Vulnerability,,0.71
nessus-10250,Sendmail Redirection Relaying Allowed,,qualys-10754,Web Server / Web Application Open Redirection Vulnerability,,0.53
nessus-10251,Multiple Vendor rpc.nisd Long NIS+ Argument Remote Overflow,CVE-1999-0008,qualys-66014,nisd RPC Service Buffer Overflow Vulnerability,CVE-1999-0008,0.8266666666666667
nessus-10252,Web Server /cgi-bin Shell Access,CVE-1999-0509,qualys-10018,Perl Interpreter (perl.exe) Remote Command Execution Vulnerability,CVE-1999-0509,0.7933333333333333
nessus-10253,Cobalt siteUserMod.cgi Arbitrary Password Modification,CVE-2000-0117,qualys-10072,Axis Communications Storpoint Passwordless Access Vulnerability,CVE-2000-0191,0.7833333333333333
nessus-10254,Ipswitch IMail / SLMail VRFY Command Remote Overflow,CVE-1999-0231,qualys-10957,Multiple Vendor .BAT/.CMD Remote Command Execution Vulnerability,CVE-1999-0233,0.7733333333333334
nessus-10256,SLMail HELO Command Remote Overflow,CVE-1999-0284,qualys-74062,Microsoft Exchange 4.0 and 5.0 (non SP1) HELO Buffer Overflow,CVE-1999-0284,0.7999999999999999
nessus-10257,NetCPlus SmartServer3 POP3 (NCPOPSERV.EXE) USER Command Remote Overflow,,qualys-74063,NetcPlus SmartServer3 SMTP Buffer Overflow,,0.63
nessus-10258,Sendmail MAIL FROM Command Arbitrary Remote Command Execution,CVE-1999-0203,qualys-10957,Multiple Vendor .BAT/.CMD Remote Command Execution Vulnerability,CVE-1999-0233,0.84
nessus-10259,Sendmail RCPT TO Command Arbitrary File Overwrite,,qualys-74071,Xmail CTRLServer Remote Arbitrary Commands Vulnerability,CVE-2001-0192,0.65
nessus-10260,Multiple MTA HELO Command Remote Overflow,"CVE-1999-0098, CVE-1999-1015, CVE-1999-1504",qualys-74061,Sendmail SMTP HELO Buffer Overflow Vulnerability,CVE-1999-0098,0.81
nessus-10261,Sendmail mail from/rcpt to Pipe Arbitrary Command Execution,CVE-1999-0163,qualys-10218,Matt Wright FormMail Remote Command Execution Vulnerability,CVE-1999-0233,0.77
nessus-10261,Sendmail mail from/rcpt to Pipe Arbitrary Command Execution,,qualys-10957,Multiple Vendor .BAT/.CMD Remote Command Execution Vulnerability,,0.77
nessus-10262,MTA Open Mail Relaying Allowed,"CVE-1999-0512, CVE-2002-1278, CVE-2003-0285",qualys-43052,Cisco Aironet Telnet Service User Account Enumeration Weakness,CVE-2003-0512,0.7833333333333333
nessus-10263,SMTP Server Detection,,qualys-38440,SIP Proxy Server Detected,,0.74
nessus-10264,SNMP Agent Default Community Names,"CVE-1999-0186, CVE-1999-0254, CVE-1999-0472, CVE-1999-0516, CVE-1999-0517, CVE-1999-0792, CVE-2000-0147, CVE-2001-0380, CVE-2001-0514, CVE-2001-1210, CVE-2002-0109, CVE-2002-0478, CVE-2002-1229, CVE-2004-0311, CVE-2004-1474, CVE-2010-1574",qualys-43018,Avaya Cajun Firmware Undocumented Default Accounts Vulnerability,CVE-2002-1229,0.81
nessus-10266,SNMP Zero Length UDP Packet Remote DoS,CVE-2000-0221,qualys-10066,Sambar Server Remote Command Execution Vulnerability,CVE-2000-0213,0.7533333333333334
nessus-10267,SSH Server Type and Version Information,,qualys-38291,SSL Session Caching Information,,0.63
nessus-10268,SSH CBC/CFB Data Stream Injection,CVE-1999-1085,qualys-10959,Matt Wright's guestbook.pl Present on Apache,CVE-1999-0851,0.7333333333333334
nessus-10268,SSH CBC/CFB Data Stream Injection,,qualys-15027,ISC BIND naptr Named Crash (naptr bug) Vulnerability,,0.7333333333333334
nessus-10269,SSH RSAREF Library Multiple Functions Local Overflow,CVE-1999-0834,qualys-74062,Microsoft Exchange 4.0 and 5.0 (non SP1) HELO Buffer Overflow,CVE-1999-0842,0.7466666666666667
nessus-10269,SSH RSAREF Library Multiple Functions Local Overflow,,qualys-86453,Symantec Mail-Gear Directory Traversal Vulnerability,,0.7466666666666667
nessus-10270,Stacheldraht Trojan Detection,CVE-2000-0138,qualys-23011,A.H.G. EZShopper Remote Command Execution Vulnerability,CVE-2000-0187,0.7566666666666667
nessus-10271,TCP/IP ACK Packet Saturation Remote DoS,CVE-1999-0770,qualys-10007,IRIS Performer API Search Tool Vulnerability,CVE-1999-0070,0.7566666666666667
nessus-10271,TCP/IP ACK Packet Saturation Remote DoS,,qualys-10015,test-cgi CGI Vulnerability,,0.7566666666666667
nessus-10272,Solaris ^D Character Remote Telnet Service DoS,CVE-1999-0273,qualys-27002,Writeable Root Directory on FTP Server,CVE-1999-0527,0.8066666666666666
nessus-10273,Samba Web Administration Tool (SWAT) Detection,,qualys-86659,SurgeLDAP Web Administration Authentication Bypass Vulnerability,CVE-2004-2254,0.63
nessus-10274,SyGate Backdoor Detection,CVE-2000-0113,qualys-10108,IMP File Disclosure and Remote Command Execution Vulnerabilities,CVE-2000-0911,0.7400000000000001
nessus-10275,Systat Service Remote Information Disclosure,CVE-1999-0637,qualys-66032,rstatd RPC Service System Information Disclosure Vulnerability,CVE-1999-0624,0.8166666666666668
nessus-10276,TCP/IP 'Chorusing' Windows DoS,CVE-1999-1201,qualys-10215,Novell WebServer files.pl File Disclosure Vulnerability,CVE-1999-1020,0.7166666666666667
nessus-10276,TCP/IP 'Chorusing' Windows DoS,,qualys-10862,Netware NDS Tree Can Be Browsed,,0.7166666666666667
nessus-10278,Sendmail 8.6.9 IDENT Remote Overflow,CVE-1999-0204,qualys-74114,Berkeley Sendmail IDENT Remote Root Vulnerability,CVE-1999-0204,0.84
nessus-10279,TCP/IP IP Fragment Re-Assembly Remote DoS,CVE-1999-0015,qualys-86403,Cisco PIX Firewall Manager File Exposure,CVE-1999-0158,0.7533333333333334
nessus-10280,Telnet Service Detection,,qualys-38292,iTunes Service Detected,,0.68
nessus-10280,Telnet Service Detection,,qualys-38298,RAdmin Service Detected,,0.68
nessus-10281,Telnet Server Detection,,qualys-86660,Phishing Server Detected,,0.64
nessus-10282,Multiple Vendor test-cgi Arbitrary File Access,CVE-1999-0070,qualys-10015,test-cgi CGI Vulnerability,CVE-1999-0070,0.8066666666666666
nessus-10283,TFN (Tribe Flood Network) Trojan Detection,CVE-2000-0138,qualys-10086,DBMan CGI Environment and Setup Variable Disclosure Vulnerability,CVE-2000-0187,0.7466666666666667
nessus-10283,TFN (Tribe Flood Network) Trojan Detection,,qualys-23011,A.H.G. EZShopper Remote Command Execution Vulnerability,,0.7466666666666667
nessus-10284,TFS SMTP 3.2 MAIL FROM overflow,CVE-1999-1516,qualys-74064,Computalynx CMail SMTP Buffer Overflow Vulnerability,CVE-1999-1521,0.7966666666666667
nessus-10285,thttpd 2.04 If-Modified-Since Header Remote Buffer Overflow,CVE-2000-0359,qualys-86070,Acme THTTPd Buffer Overflow Vulnerability,CVE-2000-0359,0.82
nessus-10286,thttpd Double Slash Request Arbitrary File Access,CVE-1999-1456,qualys-10959,Matt Wright's guestbook.pl Present on Apache,CVE-1999-1053,0.7166666666666667
nessus-10287,Traceroute Information,,qualys-10173,MachineInfo Script Information Disclosure,,0.54
nessus-10288,Trin00 Trojan Detection,CVE-2000-0138,qualys-10066,Sambar Server Remote Command Execution Vulnerability,CVE-2000-0213,0.7366666666666667
nessus-10289,MS00-013: Microsoft Windows Media Server Malformed Handshake Sequence DoS (253943),CVE-2000-0211,qualys-10108,IMP File Disclosure and Remote Command Execution Vulnerabilities,CVE-2001-0151,0.7333333333333334
nessus-10289,MS00-013: Microsoft Windows Media Server Malformed Handshake Sequence DoS (253943),,qualys-10889,Microsoft IIS FrontPage Discloses Anonymous Internet Account,,0.7333333333333334
nessus-10289,MS00-013: Microsoft Windows Media Server Malformed Handshake Sequence DoS (253943),,qualys-86110,Microsoft IIS WebDAV 'Search' Denial of Service Vulnerability (MS01-016),,0.7333333333333334
nessus-10290,Upload cgi,,qualys-150125,File Upload Form Found,,0.5
nessus-10291,O'Reilly WebSite uploader.exe Arbitrary File Upload,CVE-1999-0177,qualys-10128,Deerfield Website Pro win-c-sample.exe Buffer Overflow  Vulnerability,CVE-1999-0178,0.7799999999999999
nessus-10292,UoW imapd AUTHENTICATE Command Remote Overflow,CVE-1999-0005,qualys-50014,IMAP 'authenticate' Command Buffer Overflow Vulnerability,CVE-1999-0005,0.91
nessus-10460,Big Brother bb-hostsvc.sh 'HOSTSVC' Parameter Traversal Arbitrary File Access,CVE-2000-0638,qualys-86220,Stalker CommuniGate Pro Arbitrary File Read Vulnerability,CVE-2000-0634,0.7799999999999999
nessus-10461,RealServer Malformed viewsource Directory Request DoS,CVE-2000-0474,qualys-38328,Real Networks RealServer View-Source Denial of Service Vulnerability,CVE-2000-0474,0.8533333333333334
nessus-10462,AMANDA Client Version,,qualys-19014,Oracle Listener Version,,0.59
nessus-10463,vpopmail vchkpw USER/PASS Command Format String,CVE-2000-0583,qualys-27080,WU-FTPD Remote Root Access with 'SITE EXEC' Command,CVE-2000-0573,0.7533333333333334
nessus-10464,ProFTPD Multiple Remote Overflows,CVE-1999-0368,qualys-27064,ProFTPD And Wuarchive Remote Exec Due To Buffer Overflow,CVE-1999-0368,0.86
nessus-10465,CVSweb 1.80 cvsweb.cgi Arbitrary Command Execution,CVE-2000-0670,qualys-38283,CVS Checkin.prog Binary Execution Vulnerability,CVE-2000-0680,0.77
nessus-11323,Flash Player < 6.0.79.0 Multiple Unspecified Overflows,,qualys-27094,ArGoSoft FTP Server 1.0 Multiple Buffer Overflow Vulnerabilities,,0.59
nessus-11323,Flash Player < 6.0.79.0 Multiple Unspecified Overflows,,qualys-116170,Spider Player Multiple Playlist Files Buffer Overflow Vulnerability,,0.59
nessus-11324,PHP-Ping index.php pingto Parameter Arbitrary Code Execution,,qualys-50039,Exim Pipe Host Name Arbitrary Command Execution Vulnerability,CVE-2002-1436,0.61
nessus-11324,PHP-Ping index.php pingto Parameter Arbitrary Code Execution,,qualys-86427,Novell NetWare HTTP Post Arbitrary Perl Code Execution Vulnerability,,0.61
nessus-11325,MS02-021: Word Mail Reply Arbitrary Script Execution (321804),CVE-2002-1056,qualys-10559,Quik-Serv Web Server Arbitrary File Disclosure Vulnerability,CVE-2002-0556,0.7600000000000001
nessus-11326,MS02-013: Cumulative VM Update (300845),"CVE-2002-0058, CVE-2002-0076",qualys-19043,Multiple Microsoft SQL Server 2000 Vulnerabilities (MS02-034),CVE-2002-0624,0.6599999999999999
nessus-11327,Nortel Baystack Default Password,,qualys-43023,Alcatel ADSL Modem Default Password Vulnerability,,0.59
nessus-11327,Nortel Baystack Default Password,,qualys-86919,HTTP Interface Allows Default Login (admin:password),,0.59
nessus-11328,Kietu index.php Remote File Inclusion,,qualys-150057,Remote File Include,,0.68
nessus-11329,Virus Infection Detection,,qualys-150047,SQL Injection In HTTP Header,,0.64
nessus-11330,MS00-035: MS SQL7.0 Service Pack may leave passwords on system (263968),CVE-2000-0402,qualys-86158,Microsoft IIS 4.0/5.0 Malformed File Extension Denial of Service Vulnerability,CVE-2000-0408,0.7466666666666667
nessus-11331,WU-FTPD Debug Mode Client Hostname Remote Format String,CVE-2001-0187,qualys-27058,WU-FTPd Debug Mode Client Hostname Format String Vulnerability,CVE-2001-0187,0.94
nessus-11332,WU-FTPD Unspecified Security Issue,CVE-2001-0935,qualys-27159,WU-FTPD ftpglob Function Buffer Overflow Vulnerability,CVE-2001-0935,0.8033333333333333
nessus-11333,WebWho+ whois.pl time Parameter Arbitrary Command Execution,CVE-2000-0010,qualys-23011,A.H.G. EZShopper Remote Command Execution Vulnerability,CVE-2002-0061,0.75
nessus-11333,WebWho+ whois.pl time Parameter Arbitrary Command Execution,,qualys-86350,Apache Win32 Batch File Remote Command Execution Vulnerability,,0.75
nessus-11334,popper_mod PHP Administration Script Authentication Bypass,CVE-2002-0513,qualys-10710,Symantec Popper_Mod Default Administrative Access Vulnerability,CVE-2002-0513,0.85
nessus-11335,Solaris mibiisa MIB Parsing Remote Overflow,CVE-2002-0797,qualys-38389,Sun Solaris Tooltalk RPC Database Server Heap Buffer Overflow Vulnerability,CVE-2002-0679,0.7666666666666667
nessus-11336,MS02-031: Cumulative patches for Excel and Word for Windows (324458),"CVE-2002-0616, CVE-2002-0617, CVE-2002-0618, CVE-2002-0619",qualys-110153,Microsoft Excel and Word Cumulative Security Update (MS02-031),"CVE-2002-0616, CVE-2002-0617, CVE-2002-0618, CVE-2002-0619",0.9339999999999999
nessus-11337,Multiple Linux rpc.mountd Remote Overflow,CVE-1999-0002,qualys-66001,mountd NFS Service Buffer Overflow Vulnerability,CVE-1999-0002,0.84
nessus-11338,IBM Lotus Domino < 5.0.12 / 6.0.1 Multiple Vulnerabilities,"CVE-2003-0123, CVE-2001-1311",qualys-10232,eXtropia bbs_forum.cgi Remote Arbitrary Command Execution Vulnerability,CVE-2001-0123,0.81
nessus-11727,NetWin CWmail.exe Item Parameter Remote Overflow,CVE-2002-0273,qualys-74111,Netwin CWMail Buffer Overflow Vulnerability,CVE-2002-0273,0.8566666666666666
nessus-11728,Mobius DocumentDirect ddicgi.exe Long GET Request Overflow,CVE-2000-0826,qualys-38243,LSH Remote Buffer Overflow Vulnerability,CVE-2003-0826,0.7566666666666667
nessus-11729,ION ion-p.exe page Parameter Traversal Arbitrary File Retrieval,CVE-2002-1559,qualys-86441,Sun ONE Starter Kit / ASTAware SearchDisc Search Engine Directory Traversal Vulnerability,CVE-2002-1525,0.7733333333333334
nessus-11730,Netdynamics ndcgi.exe Previous User Session Replay,CVE-2001-0922,qualys-86282,IBM WebSphere Application Server Predictable Session ID Vulnerability,CVE-2001-0962,0.7600000000000001
nessus-11731,Lucent VitalNet VsSetCookie.exe Unauthorized Access,CVE-2002-0236,qualys-27104,SunFTP Server Unauthorized File Access Vulnerability,CVE-2001-0283,0.7733333333333333
nessus-11732,Netwin WebNews Webnews.exe Remote Overflow,CVE-2002-0290,qualys-10692,NetWin WebNEWS Remote Buffer Overflow Vulnerability,CVE-2002-0290,0.9166666666666666
nessus-12041,phpMyAdmin export.php what Parameter Traversal Arbitrary File Access,CVE-2004-0129,qualys-34019,ISS Protocol Analysis Module SMB Parsing Heap Overflow Vulnerability,CVE-2004-0193,0.7466666666666667
nessus-12042,ReviewPost PHP Pro Multiple Script SQL Injections,CVE-2004-2175,qualys-34016,ISS BlackICE PC Protection Multiple Vulnerabilties,CVE-2004-2075,0.75
nessus-12042,ReviewPost PHP Pro Multiple Script SQL Injections,,qualys-38316,Sophos Antivirus MIME Header Handling Denial of Service Vulnerability,,0.75
nessus-12043,BEA WebLogic config.xml Operator/Admin Password Disclosure,CVE-2004-1757,qualys-86642,BEA WebLogic Operator/Admin Password Disclosure Vulnerability,CVE-2004-1757,0.93
nessus-12044,RealPlayer File Handler Arbitrary Code Execution,"CVE-2004-0258, CVE-2004-0273",qualys-38386,Sun Solaris in.rwhod Daemon Arbitrary Code Execution Vulnerability,CVE-2004-1351,0.7166666666666667
nessus-12045,Mambo Site Server itemid Parameter XSS,CVE-2004-2072,qualys-27227,BolinTech Dream FTP Server FTP Command Format String Vulnerability,CVE-2004-2074,0.7600000000000001
nessus-12046,Apache-SSL SSLVerifyClient SSLFakeBasicAuth Client Certificate Forgery,CVE-2004-0009,qualys-86695,Apache Mod_SSL Log Function Format String Vulnerability,CVE-2004-0700,0.7833333333333333
nessus-12047,Oracle Database 9i Multiple Functions Local Overflow,CVE-2003-1208,qualys-43089,Cisco Router SIP INVITE Message Parsing Denial of Service,CVE-2003-1108,0.7433333333333333
nessus-12048,Novell NetWare Web Server sewse.nlm Access,CVE-2001-1580,qualys-86267,Novell GroupWise Arbitrary File Retrieval Vulnerability,CVE-2001-1458,0.7566666666666667
nessus-12049,Novonyx Web Server Multiple Sample Application Files Present,CVE-2002-1634,qualys-86428,Netscape Enterprise Web Server for Netware Information Disclosure Vulnerability,CVE-2002-1634,0.82
nessus-14234,Dropbear SSH Server DSS Verification Failure Remote Privilege Escalation,CVE-2004-2486,qualys-38296,Dropbear SSH Server Digital Signature Authentication Vulnerability,CVE-2004-2486,0.8300000000000001
nessus-14235,Opera < 7.54 Multiple Function Address Bar Spoofing,CVE-2004-2491,qualys-27253,WhitSoft Development SlimFTPd Remote Buffer Overflow Vulnerability,CVE-2004-2418,0.73
nessus-14237,GoScript go.cgi Arbitrary Command Execution,CVE-2004-2776,qualys-10746,E-Guest Server Side Include Arbitrary Command Execution Vulnerability,CVE-2002-2376,0.77
nessus-14239,RHEL 3 : kernel (RHSA-2004:413),"CVE-2004-0178, CVE-2004-0415, CVE-2004-0447, CVE-2004-0535, CVE-2004-0587",qualys-38405,CUPS UDP Packet Remote Denial of Service Vulnerability,CVE-2004-0558,0.696
nessus-14240,RHEL 2.1 : kernel (RHSA-2004:418),"CVE-2004-0415, CVE-2004-0535, CVE-2004-0587",qualys-38405,CUPS UDP Packet Remote Denial of Service Vulnerability,CVE-2004-0558,0.7060000000000001
nessus-14242,Mac OS X Multiple Vulnerabilities (Security Update 2004-08-09),"CVE-2002-1363, CVE-2004-0421, CVE-2004-0597, CVE-2004-0598, CVE-2004-0599",qualys-10650,Blahz-DNS Direct Script Call Authentication Bypass Vulnerability,CVE-2002-0599,0.8233333333333333
